"component","cox_coefficient","cox_reference_mean"
"component_1",0.337496666025759,-3.3274322720544e-16
"component_2",0.716194376585066,1.8190826234383e-16
"component_3",1.11257281929463,9.06304509898087e-17
"component_4",0.643821232684818,-2.71243992605213e-16
"component_5",0.572997743851129,-7.61619468496499e-16
"component_6",0.544330669217163,-6.58365490404539e-16
"component_7",0.585140011842235,-1.54719127046888e-16
"component_8",0.439145759635723,-1.42419280126842e-16
"component_9",0.322481964063575,-3.81942614885622e-17
