"gene","winsor_q01","winsor_q99","missing_value_imputation_mean","pls_center","pls_scale"
"NQO1",0.999844383855849,10.7393635982482,4.83570447795192,4.83570447795192,2.94244439418684
"GLRX3",3.96938084665017,6.36030379515836,5.12007379940109,5.12007379940109,0.546651652294464
"PSMD7",4.09258393390339,6.55060126905996,5.4102662022029,5.4102662022029,0.538181770140364
"TUBA4A",2.31291542874086,7.7028247580037,5.41490191091319,5.41490191091319,1.18571498505176
"METTL5",3.30822186482927,5.67164920943681,4.46637163674769,4.46637163674769,0.528414301124989
"HTATIP2",4.17321306692688,8.09071138879235,6.34860273827211,6.34860273827211,0.858954172088417
"PSMD14",4.34007835100518,7.13839457888827,5.57295892286804,5.57295892286804,0.599817100992209
"HSPB11",2.85965983241775,5.55004170576868,4.17521066306368,4.17521066306368,0.616721203400852
"TPD52",3.5369013513898,7.47632133765494,5.5487772410846,5.5487772410846,0.879414481092
"EIF5A2",0.155536751958046,5.36671680831349,2.3343126618002,2.3343126618002,1.37942383366235
"MGMT",3.72222439016991,7.86725068661852,6.13402680164645,6.13402680164645,0.836946024716101
"TALDO1",6.20718094975785,9.53361392845489,7.48813241667453,7.48813241667453,0.780073345665187
"EIF6",5.92628016603159,8.84220197491848,7.19916354166507,7.19916354166507,0.608695623369022
"DNAJC1",4.10303404633617,7.0340861093324,5.45878203735839,5.45878203735839,0.57295590742061
"PSMD1",5.38573003494541,7.54678942136279,6.42192754490461,6.42192754490461,0.467666846471135
"DNAJC8",4.92695907130496,7.18630151720837,5.84008440238829,5.84008440238829,0.493297920737101
"PSMA5",5.15137459533847,7.92224113441285,6.57557121590249,6.57557121590249,0.553747561471473
"CDK4",2.66013506912458,7.2963077553415,5.17306427849228,5.17306427849228,0.897476225220524
"STOML2",4.94490677070315,7.83806925657969,6.37211723238042,6.37211723238042,0.545022768688637
"PLIN3",3.32940770169533,7.11282704738994,5.00344379118742,5.00344379118742,0.786785467261685
"COBLL1",3.22607877092512,8.11077686039418,5.79733230110569,5.79733230110569,1.05205137297663
"PPCS",4.24040838981904,6.49847366186296,5.32050915890456,5.32050915890456,0.437158304139444
"CRYL1",4.15620872353106,8.45091260924227,6.73306575393126,6.73306575393126,0.965147594050963
"SORD",3.27997626256472,9.42784740317286,7.01579111422623,7.01579111422623,1.29217452672496
"PSMB2",5.64764614646868,8.0633046211358,6.87230518591951,6.87230518591951,0.542272526220367
"HPN",2.29263724885907,10.0172076962554,8.48204560543852,8.48204560543852,1.05457027543668
"ADH1A",0.688725754001003,10.5650626919543,7.6027471756857,7.6027471756857,2.13353466069453
"EIF2S2",4.9969882379598,7.42302118509498,6.0758182046317,6.0758182046317,0.528833750338651
"EEF1E1",1.42215919909671,4.92977135556895,2.87171821057094,2.87171821057094,0.73840898484524
"AKR1B10",0,11.760649947634,6.77855055315471,6.77855055315471,3.44013409601772
"C8B",0.822329822633129,9.80238302120956,7.65585716983353,7.65585716983353,1.56578678577099
"PHLDA2",0.207865986114563,5.88511388236566,2.34660638865516,2.34660638865516,1.37528018364324
"SNRPF",3.67122569221896,6.78819722977284,5.04912466295603,5.04912466295603,0.708934320282949
"RTN3",5.7763133948728,8.19717027600163,6.94860169047024,6.94860169047024,0.556212508291348
"ANXA2",5.51185676219599,10.6067881607854,7.99207734935748,7.99207734935748,1.08123427973318
"POLR2L",5.12253799673015,8.2870719369076,6.53416282713746,6.53416282713746,0.666676321282877
"LDHA",6.97100715415852,10.4943106588831,8.74215958546647,8.74215958546647,0.718283798572191
"TAT",1.06118361148238,12.1489692051035,7.75626507424959,7.75626507424959,3.02306196845394
"GNG5",4.9461034477996,7.59116304666189,6.15875086606785,6.15875086606785,0.572098828756774
"UGP2",5.61752644628597,9.92204964329599,7.74444262082438,7.74444262082438,0.871426212209347
"IGFBP3",3.79536752340551,10.2579197483697,6.726695084376,6.726695084376,1.35359685607656
"FTH1",6.8811421471864,10.969952693987,8.92679304557399,8.92679304557399,0.762690816299893
"OAZ1",6.93769867258754,9.81213908764164,8.27745829704458,8.27745829704458,0.635907728067791
"ECHS1",6.87265881933948,10.2776247957587,8.73225115170969,8.73225115170969,0.741299019836881
"TUBA1B",2.24965940082188,8.55302832288862,6.15862089703204,6.15862089703204,1.2028499627027
"S100A10",3.27189423584578,9.5217244010197,6.74527292226943,6.74527292226943,1.1917039680687
"GC",6.01794833384141,12.7330072875786,10.8493722520049,10.8493722520049,1.18225313751642
"NDUFA4L2",1.5158710038564,8.30197750893603,4.1423959869328,4.1423959869328,1.22704463835807
"KNG1",2.27150231700191,12.7092065252421,10.5318999690205,10.5318999690205,1.79464740185921
