"metaprogram","rank","gene","normalized_weight"
"MP1",126,"SMLR1",0.00511154156917062
"MP1",127,"C8B",0.00505535853963578
"MP1",128,"SERPINA6",0.00503429067458739
"MP1",129,"C4BPA",0.00502695695609364
"MP1",130,"C4BPB",0.00498142806370457
"MP1",131,"NEAT1",0.00497423255564099
"MP1",132,"GGH",0.00495029667681878
"MP1",133,"MLXIPL",0.00490799870400729
"MP2",1,"TOP2A",0.058442293257825
"MP2",2,"BIRC5",0.0576111546576482
"MP2",3,"UBE2C",0.0560181966996501
"MP2",4,"CDC20",0.0539778048147948
"MP2",5,"CDK1",0.0458060467902474
"MP2",6,"MAD2L1",0.0439830907002183
"MP2",7,"NUSAP1",0.0435742406730792
"MP2",8,"CCNB1",0.0410172458456023
"MP2",9,"PTTG1",0.0403457088132552
"MP2",10,"KIAA0101",0.0401066624970504
"MP2",11,"CCNB2",0.0379832585293741
"MP2",12,"TPX2",0.0365116797827765
"MP2",13,"RRM2",0.0353836033811155
"MP2",14,"CENPF",0.0346844765873845
"MP2",15,"CENPW",0.0344643229653399
"MP2",16,"PBK",0.0343019993182606
"MP2",17,"PRC1",0.0341176590667702
"MP2",18,"CDKN3",0.0331836514684057
"MP2",19,"NUF2",0.0330808159472227
"MP2",20,"SPC25",0.0310114691350074
"MP2",21,"TK1",0.0305809396642024
"MP2",22,"HMMR",0.03047948251239
"MP2",23,"AURKA",0.0303809628013281
"MP2",24,"SGOL1",0.0285673274827064
"MP2",25,"CDCA3",0.027426122948529
"MP2",26,"ZWINT",0.0269597836598161
"MP3",1,"MYC",0.0158695484597654
"MP3",2,"ELF3",0.0120880824748267
"MP3",3,"SPINK1",0.0120153358152042
"MP3",4,"TNFRSF12A",0.0111621276615553
"MP3",5,"CXCL2",0.0103844972406504
"MP3",6,"TM4SF1",0.00981396222788621
"MP3",7,"ZFP36",0.00911619574492276
"MP3",8,"FOS",0.00810727411406651
"MP3",9,"KLF6",0.00789613354533177
"MP3",10,"OAF",0.00786458860213956
"MP3",11,"DTYMK",0.00775779069537639
"MP3",12,"SOX4",0.00770104507548236
"MP3",13,"TUBA1B",0.00760756175999178
"MP3",14,"ATF3",0.00743942084178622
"MP3",15,"ICAM1",0.00738102250297819
"MP3",16,"AKR1B10",0.00734644449414779
"MP3",17,"HES1",0.00730805401741902
"MP3",18,"KRT8",0.00728176100401728
"MP3",19,"CXCL8",0.00712531233779654
"MP3",20,"VIM",0.00711243172087454
"MP3",21,"MT1E",0.0070395690912884
"MP3",22,"KLF4",0.00700693021249506
"MP3",23,"JUN",0.00686268361815064
"MP3",24,"STMN1",0.00683156092114743
"MP3",25,"JUNB",0.00676296922041945
"MP3",26,"PPP1R15A",0.00663383270307779
"MP3",27,"LYZ",0.0065221483513994
"MP3",28,"CTSS",0.00644984129019659
"MP3",29,"NFKBIZ",0.00637260475510618
"MP3",30,"MT1X",0.00634344963223398
"MP3",31,"NEAT1",0.00632913566228688
"MP3",32,"KPNA2",0.00626655662019059
"MP3",33,"GDF15",0.00615232793922653
"MP3",34,"CKS1B",0.00609609205911759
"MP3",35,"ADH1B",0.00608848997836637
"MP3",36,"FABP5",0.00608676285370906
"MP3",37,"H2AFZ",0.00607967191771392
"MP3",38,"RPS10",0.00606071339413261
"MP3",39,"AKR1C1",0.00602737664383024
"MP3",40,"DUSP6",0.00602611629045957
"MP3",41,"MIR4435-2HG",0.00597033782584106
"MP3",42,"GSTA1",0.00596398265304009
"MP3",43,"FKBP11",0.00589035775689007
"MP3",44,"FGG",0.0058885457929558
"MP3",45,"TNFAIP3",0.00587377252233254
"MP3",46,"DDIT3",0.00585531524170715
"MP3",47,"NEDD9",0.00576681029856485
"MP3",48,"FOSB",0.00575654705245235
"MP3",49,"RPSA",0.00573702168119665
"MP3",50,"CD151",0.00573182427782495
"MP3",51,"RRBP1",0.0056911778313023
"MP3",52,"HLA-DPA1",0.00569062746815156
"MP3",53,"AKR1C2",0.00562974630635437
"MP3",54,"IER3",0.00560198005726832
"MP3",55,"BNIP3",0.00554175597718907
"MP3",56,"ANXA2",0.00552267112501651
"MP3",57,"BNIP3L",0.00548091386659011
"MP3",58,"APOH",0.00545322977825827
"MP3",59,"AKR1C3",0.00543769448947211
"MP3",60,"IL32",0.00542231976774123
"MP3",61,"FGL1",0.00540504180428346
"MP3",62,"GNB2L1",0.00537733888012902
"MP3",63,"HMGN2",0.00535547474145929
"MP3",64,"SELM",0.00534331742558929
"MP3",65,"UBD",0.00533385183359044
"MP3",66,"NME1",0.0053147809498765
"MP3",67,"ACTG1",0.00530157609421919
"MP3",68,"HLA-DRA",0.00529390477008564
"MP3",69,"LGALS4",0.00529064347136214
"MP3",70,"SLC3A2",0.00522474647341812
"MP3",71,"ROCK2",0.00520738929307656
"MP3",72,"NFKBIA",0.00520200793899599
"MP3",73,"C1R",0.00519529126925118
"MP3",74,"MYH9",0.0051679002985957
"MP3",75,"PTTG1IP",0.00515530058549379
"MP3",76,"ATP5G1",0.00513858097052362
"MP3",77,"MDK",0.00513068337985139
"MP3",78,"CYB5A",0.005130163683369
"MP3",79,"SRP72",0.0051199959808322
"MP3",80,"GC",0.00511412180299903
"MP3",81,"TXNIP",0.00510963356393094
"MP3",82,"SH3BGRL3",0.00507940594488002
"MP3",83,"RPS5",0.0050563216339406
"MP3",84,"TACC1",0.00504838796631477
"MP3",85,"ISG20",0.00502540672958239
"MP3",86,"MT2A",0.00502484594852263
"MP3",87,"H2AFV",0.00499702280171152
"MP3",88,"S100A6",0.00499601759132016
"MP3",89,"KRT18",0.00498888525917734
"MP3",90,"C2",0.00497259912060111
"MP3",91,"CD74",0.00494014925234713
"MP3",92,"SQSTM1",0.00492538825961293
"MP3",93,"FNDC3B",0.00492249554662273
"MP3",94,"PPA1",0.00492001523884656
"MP3",95,"ORM1",0.0049095637554455
"MP3",96,"FGB",0.004892923541682
"MP3",97,"RHOC",0.00486318532737286
"MP3",98,"CLIC1",0.00486269381970211
"MP3",99,"ROBO1",0.00486190140799007
"MP3",100,"PLP2",0.00486041263870602
"MP3",101,"GNL3",0.00485518141880912
"MP3",102,"PNRC1",0.0048423790657944
"MP3",103,"LINC00152",0.00483577186094029
"MP3",104,"HLA-DMA",0.00482020076826337
"MP3",105,"IRF1",0.00480692151270812
"MP3",106,"HLA-E",0.00479344729518877
"MP3",107,"ANGPTL3",0.00478154978981735
"MP3",108,"SKA2",0.00477258490614698
"MP3",109,"RPS2",0.00477166574440397
"MP3",110,"GSN",0.00474493720316747
"MP3",111,"NNMT",0.00473658667253524
